Date,Open,High,Low,Close,Adj Close,Volume
2001-06-25,8.276700,8.286800,8.266700,8.276800,8.276800,0
2001-07-02,8.276700,8.287000,8.266700,8.277000,8.277000,0
2001-07-09,8.276800,8.287000,8.266700,8.276700,8.276700,0
2001-07-16,8.276700,8.286700,8.266700,8.276700,8.276700,0
2001-07-23,8.276800,8.287000,8.266800,8.277000,8.277000,0
2001-07-30,8.277000,8.287000,8.266700,8.276900,8.276900,0
2001-08-06,8.276800,8.287300,8.266800,8.276800,8.276800,0
2001-08-13,8.276800,8.287300,8.266800,8.277000,8.277000,0
2001-08-20,8.276800,8.286900,8.266800,8.276800,8.276800,0
2001-08-27,8.277300,8.287300,8.266800,8.276900,8.276900,0
2001-09-03,8.276900,8.287000,8.266800,8.276800,8.276800,0
2001-09-10,8.276700,8.316900,8.236900,8.276900,8.276900,0
2001-09-17,8.276640,8.316700,8.236700,8.276700,8.276700,0
2001-09-24,8.277000,8.287200,8.266700,8.276900,8.276900,0
2001-10-01,8.276800,8.286800,8.266800,8.276800,8.276800,0
2001-10-08,8.276780,8.286900,8.266700,8.276800,8.276800,0
2001-10-15,8.276500,8.296800,8.256800,8.276800,8.276800,0
2001-10-22,8.276800,8.287000,8.266800,8.277000,8.277000,0
2001-10-29,8.277000,8.287000,8.266800,8.276900,8.276900,0
2001-11-05,8.276800,8.286900,8.266600,8.276600,8.276600,0
2001-11-12,8.276580,8.296500,8.256500,8.277100,8.277100,0
2001-11-19,8.277100,8.287100,8.266900,8.276900,8.276900,0
2001-11-26,8.276900,8.287400,8.266900,8.277400,8.277400,0
2001-12-03,8.277200,8.287400,8.267000,8.277200,8.277200,0
2001-12-10,8.277200,8.287200,8.266700,8.276800,8.276800,0
2001-12-17,8.276800,8.286900,8.266600,8.276700,8.276700,0
2001-12-24,8.276600,8.286700,8.266600,8.276700,8.276700,0
2001-12-31,8.276600,8.286600,8.266600,8.276600,8.276600,0
2002-01-07,8.276800,8.286800,8.266600,8.276600,8.276600,0
2002-01-14,8.276780,8.286800,8.266600,8.276700,8.276700,0
2002-01-21,8.276700,8.286800,8.266500,8.276500,8.276500,0
2002-01-28,8.276580,8.286700,8.266500,8.276600,8.276600,0
2002-02-04,8.276600,8.286700,8.266500,8.276700,8.276700,0
2002-02-11,8.276800,8.286800,8.266700,8.276800,8.276800,0
2002-02-18,8.276800,8.287000,8.266600,8.276600,8.276600,0
2002-02-25,8.276500,8.286700,8.266500,8.276600,8.276600,0
2002-03-04,8.276700,8.287100,8.266500,8.277100,8.277100,0
2002-03-11,8.277100,8.287500,8.266700,8.277500,8.277500,0
2002-03-18,8.277420,8.287500,8.267000,8.277000,8.277000,0
2002-03-25,8.276900,8.287400,8.266900,8.277400,8.277400,0
2002-04-01,8.277400,8.287400,8.267000,8.277000,8.277000,0
2002-04-08,8.277100,8.287300,8.266900,8.277200,8.277200,0
2002-04-15,8.277200,8.287500,8.267100,8.277500,8.277500,0
2002-04-22,8.277500,8.287500,8.267200,8.277300,8.277300,0
2002-04-29,8.277000,8.287300,8.267000,8.277300,8.277300,0
2002-05-06,8.277500,8.287600,8.267100,8.277100,8.277100,0
2002-05-13,8.276900,8.287200,8.266800,8.276900,8.276900,0
2002-05-20,8.276800,8.287200,8.266900,8.277100,8.277100,0
2002-05-27,8.277020,8.287100,8.266500,8.276500,8.276500,0
2002-06-03,8.276500,8.297000,8.257000,8.277000,8.277000,0
2002-06-10,8.277000,8.296900,8.255000,8.276900,8.276900,0
2002-06-17,8.275000,8.287500,8.265000,8.277100,8.277100,0
2002-06-24,8.277100,8.287200,8.267000,8.277100,8.277100,0
2002-07-01,8.277100,8.287100,8.266600,8.276600,8.276600,0
2002-07-08,8.276800,8.286900,8.266600,8.276700,8.276700,0
2002-07-15,8.276900,8.287100,8.266700,8.276900,8.276900,0
2002-07-22,8.277000,8.287100,8.266800,8.276800,8.276800,0
2002-07-29,8.276700,8.286800,8.266600,8.276800,8.276800,0
2002-08-05,8.276800,8.286900,8.266600,8.276600,8.276600,0
2002-08-12,8.276600,8.286800,8.266600,8.276800,8.276800,0
2002-08-19,8.276800,8.286800,8.266600,8.276700,8.276700,0
2002-08-26,8.276700,8.286800,8.266600,8.276800,8.276800,0
2002-09-02,8.276800,8.290000,8.266800,8.277000,8.277000,0
2002-09-09,8.277000,8.287000,8.266800,8.276800,8.276800,0
2002-09-16,8.276800,8.287000,8.256900,8.266900,8.266900,0
2002-09-23,8.277200,8.287300,8.266900,8.266900,8.266900,0
2002-09-30,8.277400,8.287400,8.266900,8.266900,8.266900,0
2002-10-07,8.277400,8.287400,8.266900,8.276900,8.276900,0
2002-10-14,8.276800,8.287000,8.266800,8.276700,8.276700,0
2002-10-21,8.276900,8.287300,8.266900,8.277200,8.277200,0
2002-10-28,8.277400,8.287400,8.267100,8.277100,8.277100,0
2002-11-04,8.277400,8.287400,8.267100,8.277200,8.277200,0
2002-11-11,8.277100,8.287100,8.267100,8.277300,8.277300,0
2002-11-18,8.277100,8.287100,8.267100,8.277300,8.277300,0
2002-11-25,8.277100,8.287100,8.267100,8.277200,8.277200,0
2002-12-02,8.277100,8.287100,8.267100,8.277200,8.277200,0
2002-12-09,8.277100,8.287100,8.267100,8.277000,8.277000,0
2002-12-16,8.277100,8.297100,8.257100,8.277500,8.277500,0
2002-12-23,8.277100,8.287100,8.267100,8.277200,8.277200,0
2002-12-30,8.277100,8.287100,8.267100,8.276800,8.276800,0
